Team Name,Games,Wins,Qualifying Wins,Qualifying Losses,NPI,Rank,Old Rank,Rank Change
North Park,28,12,12,14,53.915358,118,118,0
Wentworth,29,18,15,11,53.908505,119,119,0
Amherst,21,11,11,10,53.904437,120,120,0
Rochester (NY),33,15,15,16,53.885637,121,121,0
Grinnell,31,21,17,10,53.843087,122,122,0
U New England,26,19,15,7,53.827681,123,123,0
Buffalo St.,30,20,17,10,53.796203,124,124,0
Cal Lutheran,25,12,12,12,53.684883,125,125,0
Muskingum,24,12,12,11,53.667957,126,126,0
Union (NY),30,19,17,10,53.611463,127,127,0
Greensboro,29,20,17,8,53.548277,128,128,0
Concordia Wisconsin,29,18,17,10,53.542388,129,129,0
Western New Eng.,29,21,17,8,53.519699,130,130,0
Mary Washington,29,12,12,14,53.502626,131,131,0
Clark (MA),26,14,13,11,53.446961,132,132,0
Manhattanville,29,20,15,9,53.428057,133,133,0
Connecticut Col.,24,15,11,9,53.295847,134,134,0
Anderson (IN),25,16,15,9,53.245647,135,135,0
Heidelberg,28,14,14,14,53.218019,136,136,0
Roger Williams,29,17,15,12,53.194451,137,137,0
Ursinus,25,14,12,10,53.112281,138,138,0
Elmhurst,26,14,12,10,53.110779,139,139,0
Wheaton (IL),29,15,15,12,53.043578,140,140,0
Roanoke,28,16,13,10,53.019190,141,141,0
Wis.-Stout,26,13,12,10,52.982358,142,142,0
Greenville,29,20,18,9,52.977176,143,143,0
Earlham,25,12,11,12,52.893753,144,144,0
Elizabethtown,31,18,16,12,52.848088,145,145,0
DePauw,29,17,17,12,52.727494,146,146,0
St. Norbert,33,19,18,13,52.677858,147,147,0
SUNY Brockport,27,17,15,10,52.641282,148,148,0
Carroll (WI),32,19,16,12,52.611406,149,150,+1
Kean,31,17,16,14,52.609551,150,149,-1
Regis (MA),30,21,17,9,52.579949,151,151,0
Stevenson,30,13,13,15,52.505564,152,152,0
Hunter,30,21,15,9,52.483708,153,153,0
Dickinson,25,13,10,11,52.418323,154,154,0
Augsburg,30,16,14,13,52.342315,155,155,0
Rowan,30,16,16,14,52.294004,156,156,0
Denison,27,13,13,12,52.263634,157,159,+2
Covenant,34,22,18,11,52.250776,158,158,0
RIT,33,19,18,14,52.232731,159,160,+1
Lebanon Valley,27,14,14,13,52.140169,160,161,+1
Chapman,28,12,12,16,52.102867,161,162,+1
Penn St. Harrisburg,26,18,14,8,52.086341,162,163,+1
Central (IA),27,18,17,9,51.919128,163,164,+1
UW-River Falls,32,12,12,18,51.910559,164,166,+2
Randolph-Macon,27,12,12,13,51.910327,165,165,0
John Jay,28,22,15,6,51.883078,166,167,+1
Albright,23,16,14,7,51.817970,167,168,+1
Meredith,28,16,13,12,51.791440,168,169,+1
Clarkson,28,13,13,15,51.744478,169,170,+1
Maine Maritime,27,17,15,7,51.695369,170,171,+1
Westminster (PA),34,19,17,14,51.695209,171,172,+1
LeTourneau,30,15,13,15,51.658663,172,173,+1
Widener,29,17,14,12,51.652790,173,174,+1
JWU (Providence),33,21,18,12,51.569907,174,175,+1
SUNY New Paltz,29,16,16,13,51.439802,175,176,+1
Loras,31,16,15,14,51.373177,176,177,+1
Thiel,26,17,16,9,51.305312,177,178,+1
Rhodes,28,14,14,13,51.240260,178,179,+1
Redlands,22,9,9,13,51.211010,179,180,+1
St. Mary's (MD),28,17,13,10,51.195322,180,181,+1
Nazareth,31,17,16,14,51.192805,181,182,+1
Washington Col.,24,12,11,11,51.181579,182,183,+1
William Peace,33,18,15,15,51.140983,183,184,+1
Emmanuel (MA),28,20,15,8,51.096072,184,185,+1
Minn.-Morris,27,16,11,11,51.065005,185,186,+1
Penn St.-Abington,27,21,17,6,51.046775,186,187,+1
Alfred St.,27,20,17,7,51.044491,187,188,+1
Catholic,36,15,14,19,50.998506,188,189,+1
Bates,22,10,10,11,50.993408,189,190,+1
Keystone,24,18,13,6,50.847563,190,191,+1
Mount Holyoke,24,12,12,11,50.804947,191,192,+1
George Fox,23,12,10,11,50.752725,192,193,+1
Muhlenberg,23,10,10,12,50.725626,193,194,+1
Monmouth (IL),30,19,19,11,50.682612,194,195,+1
Fontbonne,25,16,16,8,50.652778,195,196,+1
Oglethorpe,29,13,12,14,50.611582,196,197,+1
St. Thomas (TX),32,15,12,15,50.576897,197,198,+1
Maryville (TN),33,21,16,10,50.478766,198,199,+1
WestConn,29,15,15,14,50.469125,199,200,+1
Guilford,24,12,11,11,50.351822,200,201,+1
Merchant Marine,28,19,16,9,50.287759,201,202,+1
Alfred,24,15,14,9,50.283433,202,203,+1
