,team,elo_rating,wins,games
125,Emmanuel (MA),1574.0709916780038,21,29
126,Western New Eng.,1681.0305514631991,21,29
127,Utica,1406.851960670481,9,24
128,Baruch,1294.0530508233408,9,27
129,Bryn Mawr,1223.8255667111432,4,23
130,St. Joseph's (Brkln),1320.0853836422943,12,23
131,John Jay,1685.1330413777055,22,28
132,New Jersey City,1306.3024696019284,11,28
133,UMSV,1206.8554713146,5,22
134,Dickinson,1570.7090952193482,14,26
135,Southern Va.,1931.9567159693327,22,33
136,Gallaudet,1952.2874194030924,30,34
137,Franklin & Marshall,1792.7557490779318,23,29
138,Elizabethtown,1587.3816404077497,18,31
139,Gettysburg,1868.9508061822942,23,28
140,York (PA),1486.3726761792823,10,31
141,Bridgewater (VA),1745.2064210039234,22,29
142,Haverford,1692.6890844186225,13,26
143,Lebanon Valley,1551.0936930858904,15,28
144,Wheaton (MA),1547.171916387138,11,30
145,Johns Hopkins,2088.476276696141,29,31
146,McDaniel,1406.0494774915167,11,23
147,Penn St. Harrisburg,1672.9122287417424,18,26
148,Muhlenberg,1491.7707530475213,10,23
149,Pomona-Pitzer,1672.749643653547,17,28
150,Ursinus,1633.7274077381408,14,25
151,Brandeis,1672.1371177853598,16,30
152,Washington Col.,1456.0126937719554,12,24
153,Moravian,1564.5795362707029,17,30
154,Trinity Washington,1162.494036886815,1,11
155,Valley Forge,1107.1546317842167,2,20
156,Alfred,1477.4764090018512,15,24
157,SUNY Cobleskill,1296.8505137435855,8,29
158,Elmira,1102.9618576791927,3,25
159,SUNY Canton,1198.3937674709232,10,27
160,Hartwick,1670.891431841936,20,23
161,Penn College,1128.747208673297,3,27
162,Lycoming,1356.8670840199718,9,26
163,Fredonia,1485.5930548627805,13,29
164,Nazareth,1616.2032580986508,17,31
165,Emerson,1658.614018744976,14,29
166,Russell Sage,1359.8043016040335,14,28
167,SUNY Morrisville,1483.755327003419,15,27
168,SUNY Brockport,1663.1272925056296,17,27
169,DeSales,1637.3892326917344,14,31
170,SUNY Geneseo,1388.0304827628568,9,27
171,Clark (MA),1641.3095638182667,14,26
172,SUNY Poly,1052.8331028023945,2,24
173,St. Lawrence,1327.7125122430311,7,25
174,St. John Fisher,1845.1034845693214,21,29
175,Lakeland,1443.6967006998334,10,29
176,Austin,1712.1456350305962,21,35
177,Colby-Sawyer,1478.9115219376176,21,33
